P61.9,Rối loạn huyết học sơ sinh không xác định,Mã nhánh,P61,Rối loạn chảy máu và huyết học của thai và trẻ sơ sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các rối loạn huyết học chu sinh khác,1.0
P70,Các rối loạn chuyển hoá carbon hydrat thoáng qua đặc hiệu với thai và trẻ sơ sinh,Mã,P70,"Các rối loạn nội tiết, chuyển hoá tạm thời đặc hiệu cho thai và trẻ sơ sinh",Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các rối loạn chuyển hoá carbon hydrat thoáng qua đặc hiệu với thai và trẻ sơ sinh,1.0
P70.0,Hội chứng trẻ sơ sinh của bà mẹ bị đái tháo đường thai kỳ,Mã nhánh,P70,"Các rối loạn nội tiết, chuyển hoá tạm thời đặc hiệu cho thai và trẻ sơ sinh",Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các rối loạn chuyển hoá carbon hydrat thoáng qua đặc hiệu với thai và trẻ sơ sinh,1.0
P70.1,Hội chứng trẻ sơ sinh của bà mẹ bị đái tháo đường,Mã nhánh,P70,"Các rối loạn nội tiết, chuyển hoá tạm thời đặc hiệu cho thai và trẻ sơ sinh",Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các rối loạn chuyển hoá carbon hydrat thoáng qua đặc hiệu với thai và trẻ sơ sinh,1.0
P70.2,Đái tháo đường sơ sinh,Mã nhánh,P70,"Các rối loạn nội tiết, chuyển hoá tạm thời đặc hiệu cho thai và trẻ sơ sinh",Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các rối loạn chuyển hoá carbon hydrat thoáng qua đặc hiệu với thai và trẻ sơ sinh,1.0
P70.3,Hạ đường huyết sơ sinh do thầy thuốc,Mã nhánh,P70,"Các rối loạn nội tiết, chuyển hoá tạm thời đặc hiệu cho thai và trẻ sơ sinh",Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các rối loạn chuyển hoá carbon hydrat thoáng qua đặc hiệu với thai và trẻ sơ sinh,1.0
P70.4,Hạ đường huyết sơ sinh khác,Mã nhánh,P70,"Các rối loạn nội tiết, chuyển hoá tạm thời đặc hiệu cho thai và trẻ sơ sinh",Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các rối loạn chuyển hoá carbon hydrat thoáng qua đặc hiệu với thai và trẻ sơ sinh,1.0
P70.8,Rối loạn tạm thời khác của chuyển hoá hydrat cacbon ở thai và trẻ sơ sinh,Mã nhánh,P70,"Các rối loạn nội tiết, chuyển hoá tạm thời đặc hiệu cho thai và trẻ sơ sinh",Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các rối loạn chuyển hoá carbon hydrat thoáng qua đặc hiệu với thai và trẻ sơ sinh,1.0
P70.9,Rối loạn tạm thời không đặc hiệu của chuyển hoá cacbon hydrat ở thai và trẻ sơ sinh,Mã nhánh,P70,"Các rối loạn nội tiết, chuyển hoá tạm thời đặc hiệu cho thai và trẻ sơ sinh",Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các rối loạn chuyển hoá carbon hydrat thoáng qua đặc hiệu với thai và trẻ sơ sinh,1.0
P71,Các rối loạn chuyển hoá calci và magie thoáng qua của sơ sinh,Mã,P71,"Các rối loạn nội tiết, chuyển hoá tạm thời đặc hiệu cho thai và trẻ sơ sinh",Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các rối loạn chuyển hoá calci và magie thoáng qua của sơ sinh,1.0
P71.0,Hạ calci máu khi dùng sữa bò của trẻ sơ sinh,Mã nhánh,P71,"Các rối loạn nội tiết, chuyển hoá tạm thời đặc hiệu cho thai và trẻ sơ sinh",Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các rối loạn chuyển hoá calci và magie thoáng qua của sơ sinh,1.0
P71.1,Hạ calci máu khác của sơ sinh,Mã nhánh,P71,"Các rối loạn nội tiết, chuyển hoá tạm thời đặc hiệu cho thai và trẻ sơ sinh",Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các rối loạn chuyển hoá calci và magie thoáng qua của sơ sinh,1.0
P71.2,Hạ magnesi máu của trẻ sơ sinh,Mã nhánh,P71,"Các rối loạn nội tiết, chuyển hoá tạm thời đặc hiệu cho thai và trẻ sơ sinh",Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các rối loạn chuyển hoá calci và magie thoáng qua của sơ sinh,1.0
P71.3,Tetany sơ sinh không do thiếu calci và magie,Mã nhánh,P71,"Các rối loạn nội tiết, chuyển hoá tạm thời đặc hiệu cho thai và trẻ sơ sinh",Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các rối loạn chuyển hoá calci và magie thoáng qua của sơ sinh,1.0
P71.4,Suy tuyến cận giáp tạm thời ở trẻ sơ sinh,Mã nhánh,P71,"Các rối loạn nội tiết, chuyển hoá tạm thời đặc hiệu cho thai và trẻ sơ sinh",Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các rối loạn chuyển hoá calci và magie thoáng qua của sơ sinh,1.0
P71.8,Rối loạn tạm thời khác của chuyển hoá calci và magnesi ở trẻ sơ sinh,Mã nhánh,P71,"Các rối loạn nội tiết, chuyển hoá tạm thời đặc hiệu cho thai và trẻ sơ sinh",Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các rối loạn chuyển hoá calci và magie thoáng qua của sơ sinh,1.0
P71.9,Rối loạn tạm thời không đặc hiệu của chuyển hoá calci và magie ở trẻ sơ sinh,Mã nhánh,P71,"Các rối loạn nội tiết, chuyển hoá tạm thời đặc hiệu cho thai và trẻ sơ sinh",Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các rối loạn chuyển hoá calci và magie thoáng qua của sơ sinh,1.0
P72,Các rối loạn nội tiết tạm thời khác của trẻ sơ sinh,Mã,P72,"Các rối loạn nội tiết, chuyển hoá tạm thời đặc hiệu cho thai và trẻ sơ sinh",Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các rối loạn nội tiết tạm thời khác của trẻ sơ sinh,0.0
P72.0,"Bướu giáp sơ sinh, không phân loại nơi khác",Mã nhánh,P72,"Các rối loạn nội tiết, chuyển hoá tạm thời đặc hiệu cho thai và trẻ sơ sinh",Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các rối loạn nội tiết tạm thời khác của trẻ sơ sinh,0.0
P72.1,Cường giáp sơ sinh tạm thời,Mã nhánh,P72,"Các rối loạn nội tiết, chuyển hoá tạm thời đặc hiệu cho thai và trẻ sơ sinh",Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các rối loạn nội tiết tạm thời khác của trẻ sơ sinh,0.0
P72.2,Rối loạn chức năng tuyến giáp tạm thời của trẻ sơ sinh không phân loại nơi khác,Mã nhánh,P72,"Các rối loạn nội tiết, chuyển hoá tạm thời đặc hiệu cho thai và trẻ sơ sinh",Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các rối loạn nội tiết tạm thời khác của trẻ sơ sinh,0.0
P72.8,Rối loạn nội tiết tạm thời đặc hiệu khác của trẻ sơ sinh,Mã nhánh,P72,"Các rối loạn nội tiết, chuyển hoá tạm thời đặc hiệu cho thai và trẻ sơ sinh",Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các rối loạn nội tiết tạm thời khác của trẻ sơ sinh,0.0
P72.9,"Rối loạn nội tiết tạm thời ở trẻ sơ sinh, không xác định",Mã nhánh,P72,"Các rối loạn nội tiết, chuyển hoá tạm thời đặc hiệu cho thai và trẻ sơ sinh",Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các rối loạn nội tiết tạm thời khác của trẻ sơ sinh,0.0
P74,Các rối loạn chuyển hoá và điện giải tạm thời khác của trẻ sơ sinh,Mã,P74,"Các rối loạn nội tiết, chuyển hoá tạm thời đặc hiệu cho thai và trẻ sơ sinh",Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các rối loạn chuyển hoá và điện giải tạm thời khác của trẻ sơ sinh,0.0
P74.0,Toan chuyển hoá muộn của trẻ sơ sinh,Mã nhánh,P74,"Các rối loạn nội tiết, chuyển hoá tạm thời đặc hiệu cho thai và trẻ sơ sinh",Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các rối loạn chuyển hoá và điện giải tạm thời khác của trẻ sơ sinh,0.0
P74.1,Mất nước của trẻ sơ sinh,Mã nhánh,P74,"Các rối loạn nội tiết, chuyển hoá tạm thời đặc hiệu cho thai và trẻ sơ sinh",Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các rối loạn chuyển hoá và điện giải tạm thời khác của trẻ sơ sinh,0.0
P74.2,Rối loạn cân bằng natri của trẻ sơ sinh,Mã nhánh,P74,"Các rối loạn nội tiết, chuyển hoá tạm thời đặc hiệu cho thai và trẻ sơ sinh",Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các rối loạn chuyển hoá và điện giải tạm thời khác của trẻ sơ sinh,0.0
P74.3,Rối loạn cân bằng kali của trẻ sơ sinh,Mã nhánh,P74,"Các rối loạn nội tiết, chuyển hoá tạm thời đặc hiệu cho thai và trẻ sơ sinh",Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các rối loạn chuyển hoá và điện giải tạm thời khác của trẻ sơ sinh,0.0
P74.4,Rối loạn điện giải tạm thời khác của trẻ sơ sinh,Mã nhánh,P74,"Các rối loạn nội tiết, chuyển hoá tạm thời đặc hiệu cho thai và trẻ sơ sinh",Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các rối loạn chuyển hoá và điện giải tạm thời khác của trẻ sơ sinh,0.0
P74.5,Tăng tyrosin máu tạm thời của trẻ sơ sinh,Mã nhánh,P74,"Các rối loạn nội tiết, chuyển hoá tạm thời đặc hiệu cho thai và trẻ sơ sinh",Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các rối loạn chuyển hoá và điện giải tạm thời khác của trẻ sơ sinh,0.0
P74.8,Rối loạn chuyển hoá tạm thời khác của trẻ sơ sinh,Mã nhánh,P74,"Các rối loạn nội tiết, chuyển hoá tạm thời đặc hiệu cho thai và trẻ sơ sinh",Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các rối loạn chuyển hoá và điện giải tạm thời khác của trẻ sơ sinh,0.0
P74.9,"Rối loạn chuyển hoá tạm thời của trẻ sơ sinh, không xác định",Mã nhánh,P74,"Các rối loạn nội tiết, chuyển hoá tạm thời đặc hiệu cho thai và trẻ sơ sinh",Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các rối loạn chuyển hoá và điện giải tạm thời khác của trẻ sơ sinh,0.0
P76,Tắc ruột non khác của trẻ sơ sinh,Mã,P76,Các rối loạn của hệ thống tiêu hoá ở thai và trẻ sơ sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Tắc ruột non khác của trẻ sơ sinh,0.0
P76.0,Hội chứng nút phân su,Mã nhánh,P76,Các rối loạn của hệ thống tiêu hoá ở thai và trẻ sơ sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Tắc ruột non khác của trẻ sơ sinh,0.0
P76.1,Tắc ruột tạm thời của trẻ sơ sinh,Mã nhánh,P76,Các rối loạn của hệ thống tiêu hoá ở thai và trẻ sơ sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Tắc ruột non khác của trẻ sơ sinh,0.0
P76.2,Tắc ruột non do sữa đặc,Mã nhánh,P76,Các rối loạn của hệ thống tiêu hoá ở thai và trẻ sơ sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Tắc ruột non khác của trẻ sơ sinh,0.0
P76.8,Tắc ruột non được định rõ khác của trẻ sơ sinh,Mã nhánh,P76,Các rối loạn của hệ thống tiêu hoá ở thai và trẻ sơ sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Tắc ruột non khác của trẻ sơ sinh,0.0
P76.9,Tắc ruột non không xác định của trẻ sơ sinh,Mã nhánh,P76,Các rối loạn của hệ thống tiêu hoá ở thai và trẻ sơ sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Tắc ruột non khác của trẻ sơ sinh,0.0
P77,Viêm ruột hoại tử của thai nhi và trẻ sơ sinh,Mã,P77,Các rối loạn của hệ thống tiêu hoá ở thai và trẻ sơ sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Viêm ruột hoại tử của thai nhi và trẻ sơ sinh,1.0
P78,Các rối loạn khác của hệ tiêu hoá trong thời kỳ chu sinh,Mã,P78,Các rối loạn của hệ thống tiêu hoá ở thai và trẻ sơ sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các rối loạn khác của hệ tiêu hoá trong thời kỳ chu sinh,0.0
P78.0,Thủng ruột non chu sinh,Mã nhánh,P78,Các rối loạn của hệ thống tiêu hoá ở thai và trẻ sơ sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các rối loạn khác của hệ tiêu hoá trong thời kỳ chu sinh,0.0
P78.1,Các viêm phúc mạc sơ sinh khác,Mã nhánh,P78,Các rối loạn của hệ thống tiêu hoá ở thai và trẻ sơ sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các rối loạn khác của hệ tiêu hoá trong thời kỳ chu sinh,0.0
P78.2,"Nôn ra máu, đi ngoài ra máu do nuốt phải máu mẹ của trẻ sơ sinh",Mã nhánh,P78,Các rối loạn của hệ thống tiêu hoá ở thai và trẻ sơ sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các rối loạn khác của hệ tiêu hoá trong thời kỳ chu sinh,0.0
P78.3,Tiêu chảy sơ sinh không do nhiễm trùng,Mã nhánh,P78,Các rối loạn của hệ thống tiêu hoá ở thai và trẻ sơ sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các rối loạn khác của hệ tiêu hoá trong thời kỳ chu sinh,0.0
P78.8,Rối loạn của hệ tiêu hoá đặc hiệu khác ở giai đoạn chu sinh,Mã nhánh,P78,Các rối loạn của hệ thống tiêu hoá ở thai và trẻ sơ sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các rối loạn khác của hệ tiêu hoá trong thời kỳ chu sinh,0.0
P78.9,Rối loạn tiêu hoá không xác định của giai đoạn sơ sinh,Mã nhánh,P78,Các rối loạn của hệ thống tiêu hoá ở thai và trẻ sơ sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các rối loạn khác của hệ tiêu hoá trong thời kỳ chu sinh,0.0
P80,Hạ thân nhiệt của trẻ sơ sinh,Mã,P80,Các bệnh lý của da và điều hoà thân nhiệt của thai và trẻ sơ sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Hạ thân nhiệt của trẻ sơ sinh,0.0
P80.0,Hội chứng tổn thương do lạnh,Mã nhánh,P80,Các bệnh lý của da và điều hoà thân nhiệt của thai và trẻ sơ sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Hạ thân nhiệt của trẻ sơ sinh,0.0
P80.8,Hạ thân nhiệt khác của trẻ sơ sinh,Mã nhánh,P80,Các bệnh lý của da và điều hoà thân nhiệt của thai và trẻ sơ sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Hạ thân nhiệt của trẻ sơ sinh,0.0
P80.9,Hạ thân nhiệt không xác định của trẻ sơ sinh,Mã nhánh,P80,Các bệnh lý của da và điều hoà thân nhiệt của thai và trẻ sơ sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Hạ thân nhiệt của trẻ sơ sinh,0.0
P81,Các rối loạn điều nhiệt khác của trẻ sơ sinh,Mã,P81,Các bệnh lý của da và điều hoà thân nhiệt của thai và trẻ sơ sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các rối loạn điều nhiệt khác của trẻ sơ sinh,0.0
P81.0,Tăng thân nhiệt do môi trường của trẻ sơ sinh,Mã nhánh,P81,Các bệnh lý của da và điều hoà thân nhiệt của thai và trẻ sơ sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các rối loạn điều nhiệt khác của trẻ sơ sinh,0.0
P81.8,Rối loạn điều nhiệt xác định khác của trẻ sơ sinh,Mã nhánh,P81,Các bệnh lý của da và điều hoà thân nhiệt của thai và trẻ sơ sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các rối loạn điều nhiệt khác của trẻ sơ sinh,0.0
P81.9,Rối loạn điều nhiệt không xác định của trẻ sơ sinh,Mã nhánh,P81,Các bệnh lý của da và điều hoà thân nhiệt của thai và trẻ sơ sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các rối loạn điều nhiệt khác của trẻ sơ sinh,0.0
P83,Các bệnh lý khác của da đặc hiệu cho thai và trẻ sơ sinh,Mã,P83,Các bệnh lý của da và điều hoà thân nhiệt của thai và trẻ sơ sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các bệnh lý khác của da đặc hiệu cho thai và trẻ sơ sinh,0.0
P83.0,Cứng bì của trẻ sơ sinh,Mã nhánh,P83,Các bệnh lý của da và điều hoà thân nhiệt của thai và trẻ sơ sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các bệnh lý khác của da đặc hiệu cho thai và trẻ sơ sinh,0.0
P83.1,Đỏ da nhiễm độc của trẻ sơ sinh,Mã nhánh,P83,Các bệnh lý của da và điều hoà thân nhiệt của thai và trẻ sơ sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các bệnh lý khác của da đặc hiệu cho thai và trẻ sơ sinh,0.0
P83.2,Phù thai không do bệnh huyết tán,Mã nhánh,P83,Các bệnh lý của da và điều hoà thân nhiệt của thai và trẻ sơ sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các bệnh lý khác của da đặc hiệu cho thai và trẻ sơ sinh,0.0
P83.3,Phù da khác và không xác định đặc hiệu cho thai và trẻ sơ sinh,Mã nhánh,P83,Các bệnh lý của da và điều hoà thân nhiệt của thai và trẻ sơ sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các bệnh lý khác của da đặc hiệu cho thai và trẻ sơ sinh,0.0
P83.4,Cương tức vú của trẻ sơ sinh,Mã nhánh,P83,Các bệnh lý của da và điều hoà thân nhiệt của thai và trẻ sơ sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các bệnh lý khác của da đặc hiệu cho thai và trẻ sơ sinh,0.0
P83.5,Ứ nước màng tinh hoàn bẩm sinh,Mã nhánh,P83,Các bệnh lý của da và điều hoà thân nhiệt của thai và trẻ sơ sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các bệnh lý khác của da đặc hiệu cho thai và trẻ sơ sinh,0.0
P83.6,Polyp rốn của trẻ sơ sinh,Mã nhánh,P83,Các bệnh lý của da và điều hoà thân nhiệt của thai và trẻ sơ sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các bệnh lý khác của da đặc hiệu cho thai và trẻ sơ sinh,0.0
P83.8,Các bệnh lý được định rõ khác của da đặc hiệu cho thai và trẻ sơ sinh,Mã nhánh,P83,Các bệnh lý của da và điều hoà thân nhiệt của thai và trẻ sơ sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các bệnh lý khác của da đặc hiệu cho thai và trẻ sơ sinh,0.0
P83.9,Bệnh lý không xác định của da đặc hiệu cho thai và trẻ sơ sinh,Mã nhánh,P83,Các bệnh lý của da và điều hoà thân nhiệt của thai và trẻ sơ sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các bệnh lý khác của da đặc hiệu cho thai và trẻ sơ sinh,0.0
P90,Cơn co giật của trẻ sơ sinh,Mã,P90,Các bệnh lý khác xuất phát từ giai đoạn chu sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Cơn co giật của trẻ sơ sinh,1.0
P91,Rối loạn khác của tình trạng não trẻ sơ sinh,Mã,P91,Các bệnh lý khác xuất phát từ giai đoạn chu sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Rối loạn khác của tình trạng não trẻ sơ sinh,0.0
P91.0,Thiếu máu cục bộ sơ sinh,Mã nhánh,P91,Các bệnh lý khác xuất phát từ giai đoạn chu sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Rối loạn khác của tình trạng não trẻ sơ sinh,0.0
P91.1,Nang quanh não thất mắc phải của trẻ sơ sinh,Mã nhánh,P91,Các bệnh lý khác xuất phát từ giai đoạn chu sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Rối loạn khác của tình trạng não trẻ sơ sinh,0.0
P91.2,Nhũn chất trắng não sơ sinh,Mã nhánh,P91,Các bệnh lý khác xuất phát từ giai đoạn chu sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Rối loạn khác của tình trạng não trẻ sơ sinh,0.0
P91.3,Não dễ kích thích của trẻ sơ sinh,Mã nhánh,P91,Các bệnh lý khác xuất phát từ giai đoạn chu sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Rối loạn khác của tình trạng não trẻ sơ sinh,0.0
P91.4,Lõm não sơ sinh,Mã nhánh,P91,Các bệnh lý khác xuất phát từ giai đoạn chu sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Rối loạn khác của tình trạng não trẻ sơ sinh,0.0
P91.5,Hôn mê sơ sinh,Mã nhánh,P91,Các bệnh lý khác xuất phát từ giai đoạn chu sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Rối loạn khác của tình trạng não trẻ sơ sinh,0.0
P91.6,Bệnh não thiếu máu cục bộ do giảm oxy ở trẻ sơ sinh,Mã nhánh,P91,Các bệnh lý khác xuất phát từ giai đoạn chu sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Rối loạn khác của tình trạng não trẻ sơ sinh,0.0
P91.7,Não úng thuỷ mắc phải ở trẻ sơ sinh,Mã nhánh,P91,Các bệnh lý khác xuất phát từ giai đoạn chu sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Rối loạn khác của tình trạng não trẻ sơ sinh,0.0
P91.8,Rối loạn đặc hiệu khác của não trẻ sơ sinh,Mã nhánh,P91,Các bệnh lý khác xuất phát từ giai đoạn chu sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Rối loạn khác của tình trạng não trẻ sơ sinh,0.0
P91.9,"Rối loạn tình trạng não của sơ sinh, không đặc hiệu",Mã nhánh,P91,Các bệnh lý khác xuất phát từ giai đoạn chu sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Rối loạn khác của tình trạng não trẻ sơ sinh,0.0
P92,Vấn đề nuôi dưỡng sơ sinh,Mã,P92,Các bệnh lý khác xuất phát từ giai đoạn chu sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Vấn đề nuôi dưỡng sơ sinh,0.0
P92.0,Nôn ở trẻ sơ sinh,Mã nhánh,P92,Các bệnh lý khác xuất phát từ giai đoạn chu sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Vấn đề nuôi dưỡng sơ sinh,0.0
P92.1,Nôn vọt và nhai lại của trẻ sơ sinh,Mã nhánh,P92,Các bệnh lý khác xuất phát từ giai đoạn chu sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Vấn đề nuôi dưỡng sơ sinh,0.0
P92.2,Nuôi dưỡng chậm của trẻ sơ sinh,Mã nhánh,P92,Các bệnh lý khác xuất phát từ giai đoạn chu sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Vấn đề nuôi dưỡng sơ sinh,0.0
P92.3,Nuôi dưỡng dưới mức của trẻ sơ sinh,Mã nhánh,P92,Các bệnh lý khác xuất phát từ giai đoạn chu sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Vấn đề nuôi dưỡng sơ sinh,0.0
P92.4,Nuôi dưỡng quá mức của trẻ sơ sinh,Mã nhánh,P92,Các bệnh lý khác xuất phát từ giai đoạn chu sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Vấn đề nuôi dưỡng sơ sinh,0.0
P92.5,Trẻ bú sữa mẹ khó khăn,Mã nhánh,P92,Các bệnh lý khác xuất phát từ giai đoạn chu sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Vấn đề nuôi dưỡng sơ sinh,0.0
P92.8,Vấn đề khác của nuôi dưỡng trẻ sơ sinh,Mã nhánh,P92,Các bệnh lý khác xuất phát từ giai đoạn chu sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Vấn đề nuôi dưỡng sơ sinh,0.0
P92.9,Vấn đề nuôi dưỡng không xác định của trẻ sơ sinh,Mã nhánh,P92,Các bệnh lý khác xuất phát từ giai đoạn chu sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Vấn đề nuôi dưỡng sơ sinh,0.0
P93,Phản ứng và nhiễm độc thuốc dùng cho thai và trẻ sơ sinh,Mã,P93,Các bệnh lý khác xuất phát từ giai đoạn chu sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Phản ứng và nhiễm độc thuốc dùng cho thai và trẻ sơ sinh,0.0
P94,Rối loạn trương lực cơ của trẻ sơ sinh,Mã,P94,Các bệnh lý khác xuất phát từ giai đoạn chu sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Rối loạn trương lực cơ của trẻ sơ sinh,0.0
P94.0,Nhược cơ nặng thoáng qua của trẻ sơ sinh,Mã nhánh,P94,Các bệnh lý khác xuất phát từ giai đoạn chu sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Rối loạn trương lực cơ của trẻ sơ sinh,0.0
P94.1,Tăng trương lực cơ bẩm sinh,Mã nhánh,P94,Các bệnh lý khác xuất phát từ giai đoạn chu sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Rối loạn trương lực cơ của trẻ sơ sinh,0.0
P94.2,Giảm trương lực cơ bẩm sinh,Mã nhánh,P94,Các bệnh lý khác xuất phát từ giai đoạn chu sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Rối loạn trương lực cơ của trẻ sơ sinh,0.0
P94.8,Rối loạn trương lực cơ khác của trẻ sơ sinh,Mã nhánh,P94,Các bệnh lý khác xuất phát từ giai đoạn chu sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Rối loạn trương lực cơ của trẻ sơ sinh,0.0
P94.9,Rối loạn trương lực cơ không xác định của trẻ sơ sinh,Mã nhánh,P94,Các bệnh lý khác xuất phát từ giai đoạn chu sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Rối loạn trương lực cơ của trẻ sơ sinh,0.0
P95,Thai chết vì nguyên nhân không xác định,Mã,P95,Các bệnh lý khác xuất phát từ giai đoạn chu sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Thai chết vì nguyên nhân không xác định,0.0
P96,Các bệnh lý khác khởi phát trong thời kỳ chu sinh,Mã,P96,Các bệnh lý khác xuất phát từ giai đoạn chu sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các bệnh lý khác khởi phát trong thời kỳ chu sinh,0.0
P96.0,Suy thận bẩm sinh,Mã nhánh,P96,Các bệnh lý khác xuất phát từ giai đoạn chu sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các bệnh lý khác khởi phát trong thời kỳ chu sinh,0.0
P96.1,Hội chứng cai thuốc của trẻ sơ sinh vì mẹ nghiện dùng thuốc,Mã nhánh,P96,Các bệnh lý khác xuất phát từ giai đoạn chu sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các bệnh lý khác khởi phát trong thời kỳ chu sinh,0.0
P96.2,Hội chứng cai thuốc vì dùng thuốc để điều trị cho trẻ sơ sinh,Mã nhánh,P96,Các bệnh lý khác xuất phát từ giai đoạn chu sinh,Một số bệnh lý khởi phát trong thời kỳ chu sinh,Các bệnh lý khác khởi phát trong thời kỳ chu sinh,0.0
